Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
140290,7.7,9.5
140291,10.4,13.5
140292,12.3,11.2
140294,10.6,9.8
140300,10.3,11.2
140304,11.5,12.2
14034F,11,14.8
141300,12.6,12.5
141301,Not Available,11.1
141302,Not Available,Not Available
141303,12.7,12.7
141304,13,12.9
141306,Not Available,12.5
141307,11.6,11
141309,11.7,13.7
141310,12.5,10.9
141311,10.9,12.3
141312,11.4,11.6
141313,12.5,13.6
141315,12.5,12.1
141316,11.2,14.6
141317,11,10.5
141318,12.2,13.5
141319,12.3,14.5
141320,14.4,11.6
141322,11.8,9.8
141324,13.5,16.1
141325,13.2,15.9
141326,12.7,11.9
141327,12.8,14.4
141328,12.2,10.9
141330,12.9,11.6
141331,11.5,11.4
141332,14.4,13.5
141333,11.9,14.7
141334,11,13
141335,13.6,13.5
141336,11.8,12.8
141337,13.7,16.9
141338,14.1,12.1
141339,9.6,10.3
141340,15.4,14.5
141341,11.1,11.4
141342,13.2,9.3
141343,15.4,11.7
141344,12.5,14
141345,12.2,15.8
141346,9.3,10.1
141347,12.6,13.3
141348,10.6,14.6
141349,16.1,13.2
141350,14.7,16.2
141351,12,12.6
150001,14.7,11.8
150002,9,10.8
150003,12.1,12
150004,9.5,10
150005,12.3,11.8
150006,16.3,16.6
150007,9.9,9.8
150008,7.6,10.3
150009,9.9,10.1
150010,13,15.5
150011,12.5,13.2
150012,12.6,12.4
150015,12.8,12.1
150017,12.1,11.6
150018,12,12.9
150021,13.1,11.2
150022,14.2,11.6
150023,13.3,13.4
150024,10.1,9.3
150026,13.9,15.4
150030,11.9,11.7
150034,10.3,10.4
150035,13.3,15.4
150037,13.1,12.4
150038,12.9,13
15003F,10.2,9.6
150042,14.2,10.9
150044,10.3,11.3
150045,13.8,12.2
150046,10.2,12.4
150047,11.7,13
150048,12,9.6
15004F,11.9,10.3
150051,14.4,14
150056,10.7,8.7
150057,11.6,10.4
150058,15,14.2
150059,15.3,13
150061,13.4,13.4
150064,12.8,11.4
150065,13.4,13.1
150069,13.8,11.2
150072,14.2,10.7
150074,15.3,14.8
150075,12.1,14.9
150076,13.3,12.4
150082,11.3,12.1
150084,11.1,10.5
150086,13.8,12.7
150088,13.3,11.6
150089,13,12.2
150090,8.6,11.7
150091,11.2,11.5
150097,12.4,10.5
150100,11.1,10.7
150101,11.5,13.3
150102,12.6,14.8
150104,12.7,10.5
150109,10,11.7
150112,9.8,10.2
150113,12.7,11.4
150115,11.7,11.4
150125,9.5,12.1
150126,12.5,13
150128,10.3,9.9
150129,11.1,9.8
150133,12.3,13.8
150146,11.3,12
150149,Not Available,Not Available
150150,10.9,12.6
150153,8.2,11.2
150154,10.4,11.2
150157,11.8,11.7
150158,9.4,9
150160,Not Available,Not Available
150161,11.2,10.4
150162,12.2,9.8
150163,13.5,12
150164,10.5,11.1
150165,12.8,10.7
150166,11.4,10.8
150167,Not Available,Not Available
150168,Not Available,Not Available
150169,14.6,10.9
150172,Not Available,Not Available
150173,12.5,10.5
150175,12.9,Not Available
150176,9.8,10.7
150177,Not Available,Not Available
150179,Not Available,Not Available
151300,11.8,11.3
151301,11.3,10.2
151302,11.3,11.9
151303,12.2,11.1
151304,11.6,14.9
151305,14.4,11.8
151306,11.8,13
151307,11.2,9.9
151308,13.6,12.5
151309,11.8,13.5
151310,13.4,12.9
151311,11.7,13.4
151312,10.4,10.8
151314,12.3,13
151315,13.3,12.4
151316,15,13.3
151317,11.5,12
151318,10.9,13.9
151319,12.5,13.7
151320,11.2,10
151322,12.7,12.4
151323,13.3,11.1
151324,13.1,13.7
151325,12,15.6
151326,12.4,12
151327,12.7,13.8
151328,11.8,13.6
151329,10,15.4
151330,12.6,13
151331,11.7,14.5
151332,12.7,11.8
151333,12.7,13.7
151334,12.2,10.5
151335,13.5,15.1
160001,12.2,14.3
160005,12.1,14
160008,12.6,15.1
160013,13.1,12.2
160016,11.3,10.6
160024,10,11.9
160028,12.7,12.4
160029,12.5,9.1
160030,11.3,8.2
160032,14.5,13.8
160033,10.1,9.8
16003F,11.4,12.2
160040,10.5,11
160045,10.8,8.3
160047,10.7,14
16004F,12.9,11.9
160057,10.3,12.3
160058,12.6,12.4
160064,12.9,11.9
160067,13.4,11.7
160069,12.9,10.6
160079,9.1,10.8
160080,12.3,11.2
160082,13.3,13
160083,12.2,10.6
160089,11,10.9
160101,Not Available,Not Available
160104,12.2,13.1
160110,11.7,12.7
160112,13.3,16
160117,11.8,10.1
160122,11.8,12.7
160124,11.7,12.6
160146,11.4,12.4
160147,13.7,12.3
160153,12.8,13.1
161300,Not Available,12.5
161301,Not Available,10.7
161302,Not Available,13.3
161303,Not Available,13.2
161304,12.3,10.4
161306,11.1,10.6
161307,11.2,12.9
161308,Not Available,16.9
161309,11.3,11.3
161310,Not Available,12.2
161311,Not Available,11.7
161312,12.4,11.3
161313,11.8,11.4
161316,12.3,13.8
161317,Not Available,11.6
161318,15.9,13.3
161319,Not Available,Not Available
161320,Not Available,14.7
161321,Not Available,14.8
161322,Not Available,13.7
161325,13.2,12.9
161326,14.4,13
161327,9.9,13.8
161328,12.2,16.8
161329,Not Available,12.5
161330,10.8,12.7
161331,13.1,13.4
161332,Not Available,11.2
161333,Not Available,10.4
161335,12.8,13.1
161336,Not Available,11.2
161337,13.7,13.4
161338,11.1,11.6
161339,13.2,10.8
161340,12.5,13.2
161341,10.9,13.6
161342,12,13.1
161343,11.8,12.6
161344,11.4,15.9
161345,13.1,12.1
161346,12.4,10.4
161347,12.6,16
161348,Not Available,12
161350,11.6,10.9
161351,11.7,11.9
161352,12.5,14.4
161353,13,12.6
161354,11.1,12.5
161355,12.8,10
161356,13.1,14.1
161357,Not Available,12
161358,10.4,12.6
161359,15.3,17.1
161360,11.3,10.1
161361,11.3,10.7
161362,16,14.2
161363,11.8,13.1
161364,11.9,13.4
161365,14.1,12.8
161366,12,11.1
161367,11.4,9.7
161368,14.6,11.1
161369,13.2,13.9
161370,10.7,10.8
161371,10.6,11.4
161372,16.4,15.8
161373,13.4,11.3
161374,12.7,11.7
161375,13,14.8
161376,11.5,14.4
161377,13.5,13.6
161378,Not Available,Not Available
161379,11.9,13.3
161380,10.9,12.2
161381,11.6,12.6
170001,11.1,14
170006,9.7,11.9
170009,10,14.2
170010,12.7,17
170012,13.5,13.7
170013,8.7,11.9
170014,11.2,10.8
170016,11.7,11
170017,11.2,12.9
170020,13.6,15
170023,14.7,14.2
170027,13.2,13.2
170039,12.4,15.6
170040,10.8,10.8
170049,13.2,12.8
170058,13.5,15.3
170068,14.7,14.3
17006F,10.6,11
170074,12.6,16
170075,12.1,13.1
170086,10.1,14.5
17008F,12.4,11.4
170094,11.4,10.6
170103,13.2,11.1
170104,14.3,11.4
170105,9.5,10.3
170109,Not Available,12.4
170110,11.7,14.2
170120,13.9,10.5
170122,13.1,10.8
170123,12.3,10.9
170133,11.1,10.8
170137,13.1,13.2
170142,13,15.1
170145,10.9,9.3
170146,11.2,11.6
170150,15,14.8
170166,11.1,13.6
170175,14.4,18.4
170176,10,11.2
170182,11.7,10.6
170183,Not Available,Not Available
170185,9.9,10
170186,11,Not Available
170187,Not Available,Not Available
170188,Not Available,Not Available
170190,Not Available,Not Available
170191,Not Available,12.5
170194,Not Available,Not Available
170195,Not Available,Not Available
170196,Not Available,Not Available
170197,11.4,12
170198,Not Available,Not Available
170199,Not Available,Not Available
170200,11.2,10.9
171300,Not Available,Not Available
171301,Not Available,Not Available
171302,Not Available,Not Available
171304,Not Available,11.6
171306,Not Available,Not Available
171307,10.6,10.9
171310,Not Available,11.9
171312,Not Available,Not Available
171313,12.4,11
171314,Not Available,Not Available
171315,14.1,11.1
171316,11,10.8
171317,Not Available,13.1
171318,Not Available,12.6
171319,Not Available,14.6
171321,10.6,11.3
171322,Not Available,12.1
171324,Not Available,15
171325,12,9.8
171327,11.7,12.5
171328,Not Available,13.9
171331,Not Available,10.4
171333,11,10.7
171336,Not Available,12.2
171337,12.8,13.6
171338,Not Available,13.2
171339,12.7,9.6
171340,12.3,9.3
171341,11.8,12
171343,Not Available,Not Available
171344,Not Available,15.6
171345,11.1,11.5
171346,Not Available,12.2
171347,Not Available,12.7
171348,11.7,10.2
171349,12.1,12.4
171350,Not Available,10.8
171351,Not Available,12
171352,10.4,10.5
171353,Not Available,11.2
171354,10.9,8.9
171355,9.7,12.7
171356,Not Available,Not Available
171357,Not Available,Not Available
171358,Not Available,12.6
171359,Not Available,11.3
171361,11.3,13.1
171364,Not Available,11.8
171366,10.6,10.5
171367,12.1,11.1
171369,Not Available,10.2
171370,Not Available,12.2
171371,9.8,10.2
171372,10.4,12.2
171373,11.3,13.5
171374,13,11.8
171375,11.9,12.3
171376,11.6,10.9
171377,11,11.8
171378,13.3,9
171379,12.4,11.4
171380,13,13.4
171381,11.4,14.7
171382,12.9,13.7
171383,14.2,13
173300,Not Available,Not Available
180001,10.2,12.2
180002,13,13
180004,12.8,15.5
180005,10.6,12.4
180009,12,11.7
180010,11.8,11.7
180011,11.7,10
180012,10.3,12.2
180013,9.9,12.6
180016,11.8,15
180017,11.6,13.4
180018,10.9,10.2
180019,11.9,16.8
180020,16,12.2
180021,9.7,9.7
180024,10.5,14.1
180025,13.9,10
180027,11.6,12.1
180029,11.3,13.3
180035,11.7,10.5
180036,11,12.2
180038,9.5,9.6
180040,10.5,11.7
180043,10.7,10.9
180044,10.4,14.9
180045,11.4,10.2
180046,11.9,10.5
180048,11.6,12.3
180049,14.6,13.9
180050,11.2,12
180051,10.7,16.6
180053,10.5,12.1
180056,11.5,11.3
180064,12.3,14.5
180066,9.5,12.3
180067,14.4,14.5
180069,10.9,9.9
18006F,12.3,15.5
180070,12.9,10.8
180078,12.6,13.1
180079,13.6,17.4
18007F,12.9,16.9
180080,9.8,14.2
180087,10.6,10.4
180088,10.6,10.8
180092,12,9.1
180093,12.7,12.4
180095,10.9,11.6
180101,12.7,13.9
180102,13,11.7
180103,12,11.1
180104,12.4,11.3
180105,10.4,12.2
180106,11.3,13.3
180115,12.1,16.6
180116,13,12.9
180117,9.8,13.1
180124,14,16.1
180127,12.9,10.7
180128,11.7,10.9
180130,9.9,11.3
180132,15.9,16
180138,9.9,10.6
180139,12.3,13.2
180141,13.5,15.6
180143,10.7,11.4
180149,9,10.5
181301,12.1,12.7
181302,13.6,13.1
181303,Not Available,11.6
181304,12.9,12.5
181305,10.9,11.8
181306,12.3,11.4
181307,11.1,11.5
181308,Not Available,13.5
181309,11.6,8.6
181310,12.5,13.2
181311,12,12.1
181312,10.6,10.4
181314,12,13.8
181315,11.7,13.8
181316,11.4,11
181317,13.2,13.8
181318,10.8,12.8
181319,12.8,12.4
181320,12.4,11.5
181321,13,9.4
181322,16.8,21.2
181323,13.7,10.1
181324,13.4,14.1
181325,Not Available,13.1
181327,12.6,14.7
181328,11.8,13.5
181329,12.8,12.1
181330,11.9,14.6
181331,11,10.8
190001,10.2,12
190002,13.8,14.6
190003,11.7,12.1
190004,15.2,16.5
190005,11.7,12.7
190006,12.5,Not Available
190007,9.5,11.3
190008,12,18.8
190009,Not Available,Not Available
190011,12.6,11.5
190013,13,13.7
190014,12.2,14.3
190015,10.1,11.7
190017,12.4,13.7
190019,10.6,12
190020,12.8,11.8
190025,10.6,13.2
190026,11,14.3
190027,12.6,11.1
190034,15.7,12
190036,10.5,9.8
190039,11,10.6
190040,11.4,10.1
190041,11.1,12.6
190044,11.7,15.7
190045,11.8,10.6
190046,9.2,12
190050,12.7,12.7
190053,13.2,13.8
190054,15.3,17.1
190060,13.3,14.9
190064,15.6,14.5
190065,11.8,12.3
190079,10.5,11.2
190081,10.8,11.8
190086,11.7,15.5
190088,10.4,10.5
190090,10.6,15.5
190098,10.1,12.5
190099,13.7,11.5
190102,11.3,11.7
190106,9.1,9.3
190111,8.4,8.4
190114,10.6,12.5
190116,13.5,14.2
190118,10.7,10.4
190122,Not Available,Not Available
190125,10.1,10.6
190128,Not Available,Not Available
190133,11.2,11.2
190135,11,12.2
190140,13.4,15.8
190144,13.3,13.1
190145,11.2,11.8
190146,12.9,10.8
190151,12.6,14.2
190160,11.2,15
190161,Not Available,Not Available
190164,10.8,9.7
190167,9.1,9.4
190175,14.5,16.8
190176,10.4,14.2
190177,10.2,10.7
190183,11.3,12.8
190184,11,12.3
190190,9.2,9.7
190199,Not Available,Not Available
190201,Not Available,Not Available
190202,12.7,14.6
190204,11.6,11.8
190205,12.1,10.7
190208,10,12.8
190218,13.6,12.6
190236,10.2,10.8
190241,Not Available,Not Available
190242,13.2,11.8
190245,Not Available,Not Available
190246,Not Available,Not Available
190250,10.7,10
190251,Not Available,Not Available
190255,Not Available,Not Available
190256,Not Available,Not Available
190257,Not Available,Not Available
190259,Not Available,Not Available
190261,Not Available,Not Available
190263,10.8,10.6
190266,Not Available,Not Available
190267,Not Available,Not Available
190268,Not Available,Not Available
190270,Not Available,Not Available
190273,Not Available,Not Available
190274,10.6,12.4
190278,Not Available,Not Available
190297,Not Available,10.5
190298,Not Available,Not Available
190303,Not Available,Not Available
190304,Not Available,Not Available
190307,Not Available,Not Available
19043F,10.5,11.4
19048F,14.3,13.4
191301,12,14.9
191302,Not Available,9.7
191303,Not Available,Not Available
191305,Not Available,13.4
191306,Not Available,Not Available
191310,11.8,17.1
191312,13.2,11.7
191315,11.8,11.2
191316,13.5,9.7
191317,11.8,14.5
191318,11.3,15.3
191320,Not Available,11
191321,Not Available,Not Available
191322,16.4,16.4
191323,11.3,9.2
191324,13.6,11.8
191325,11.4,12
191326,Not Available,11.6
200001,9.9,10.9
200002,9.5,8.4
200008,10.1,11.6
200009,11.6,12.9
200018,10.2,10.9
200019,13,12.3
200020,12.1,11
200021,12.7,16.2
200024,13.8,11.1
200025,10,11.2
200031,10.9,9
200033,11.6,10.3
200034,11.9,9.9
200037,12.4,11
200039,10.1,13.6
20003F,11.5,11.6
200040,11.5,13.4
200041,11.2,10.6
200050,13.6,12
200052,13.6,12.7
200063,10.3,12.3
201300,11.6,11.5
201301,Not Available,11.5
201302,Not Available,14.3
201303,13.2,13.7
201304,11.4,12
201305,11.9,11.3
201306,13.7,14.6
201307,11.6,10.9
201308,10.4,9.2
201309,11,14.4
201310,12.6,10
201311,10.5,11.5
201312,12.8,12.3
201313,14.2,11.2
201314,12.9,9.2
201315,12.1,14.6
210001,11.3,12.5
210002,9.6,12.7
210003,11.6,13
210004,11.5,9.6
210005,9.6,9.8
210006,11.3,11.5
210007,11.3,9.5
210008,9.1,11.2
210009,9.6,10.2
210011,9.3,11.1
210012,10.1,9.7
210013,10.9,9.6
210015,8.8,9.3
210016,10,11
210017,14,13.5
210018,12.6,9.3
210019,10.6,10.6
210022,11.8,9.9
210023,14,12
210024,11.3,11.3
210027,12.1,12.6
210028,10.2,13.1
210029,11,10.7
210030,10.2,11.2
210032,10.7,9.9
210033,13.5,9.7
210034,10,9.2
210035,9.7,14.2
210037,11.1,10.6
210038,9.6,10.8
210039,11.2,10.1
210040,9.9,12.6
210043,10.8,12.7
210044,11.6,7.4
210045,10.6,12.9
210048,10.3,10.1
210049,12.6,12.9
210051,9.6,11
210054,9.5,11.7
210055,11.7,10.6
210056,7.4,8.4
210057,11.4,11.7
210060,8.6,11
210061,13.3,10.8
21020F,9.9,12.6
220001,10.6,11.3
220002,9.1,8.7
220008,10.4,12
220010,8.8,12.8
220011,12.4,13.3
220012,12.6,10.4
220015,12.6,10.9
220016,13.8,9.5
220017,8.3,9.5
220019,12.1,9
22001F,Not Available,Not Available
220020,10.3,10.6
220024,11.5,13.6
220029,10.9,12.4
220030,8.7,10.1
220031,8.6,11
220033,11.6,9.8
220035,9,9.6
220036,7.9,9.6
220046,10.1,9.4
220049,11,11.9
220050,11.4,11.2
220051,10.3,11.8
220052,10.7,11
220058,10.6,11.6
220060,10.3,11.6
220062,Not Available,Not Available
220063,11.8,14.3
220065,11.8,11
220066,9.9,11
220067,11,10.3
220070,10.3,9.8
220071,9.6,9.5
220073,11.7,12.4
220074,10.1,11
220075,Not Available,Not Available
220077,10.8,12.8
220080,10.9,10
220082,8.5,10.4
220083,10.7,11.9
220084,14.3,10
220086,9,8.4
220088,9.8,8.9
220090,11.6,9.7
220095,11.6,11.1
220098,10.8,10.8
22009F,Not Available,Not Available
220100,10.9,14.2
220101,9.7,9.9
220105,8.7,9.9
220108,10.4,10
22010F,9.4,9.4
220110,8.4,10.6
220111,10.3,10.3
220116,9.4,10.2
220119,11.1,11.2
220126,12.5,8.2
220135,10.3,8.2
220162,Not Available,Not Available
220163,10.3,12.4
220171,11.5,11.7
220174,10.9,12.8
220175,10.7,11.1
220176,10.3,11.7
220177,13,Not Available
221300,11.9,11
221302,11,12
221303,11,15.5
223302,Not Available,Not Available
230002,11,9.8
230003,9.7,10.8
230004,11.4,11.4
230005,14.4,13.6
230013,11.4,10.7
230015,12.6,11.5
230017,13.2,10.8
230019,8.1,9.5
230020,9.1,10.3
230021,11.2,10.1
230022,14.8,14
230024,9.4,10.9
230029,12.5,11.1
230030,11.4,11.6
230031,13,15.1
230035,11.7,12.2
230036,10.2,15.3
230037,12.2,11.1
230038,12.7,10.5
230040,11.4,10.1
230041,11.5,11.8
230046,10.3,9.6
230047,11.7,9.6
230053,8.7,11.9
230054,10.2,10.7
230055,14,12.2
230058,10.6,9.9
230059,13.1,12.9
23005F,11,10.1
230066,13.7,10.7
230069,10.2,11.2
230070,12.3,16
230071,Not Available,Not Available
230072,11.7,11.9
230075,9.3,12.4
230077,12.5,13
230078,12.4,10.4
230080,10.5,11.2
230081,9.7,9.5
230085,10.3,14.4
230089,10.8,8.9
230092,10.5,10.5
230093,12.7,12
230095,10.7,12.2
230096,12.1,14.9
230097,10.7,10.5
230099,12.3,10.7
23009F,11.6,12.5
230100,13,10.6
230101,13.5,14.4
230104,7.2,9.8
230105,11.1,10.6
230106,11.4,12.1
230108,11.4,13.5
230110,11.3,12.9
230117,14.7,12.4
230118,10.1,13.8
23011F,10.6,11.8
230121,15.4,15
23012F,13.1,11.5
230130,9,11
230132,10.9,10.5
230133,12.9,13.3
230141,9.8,9.9
230142,8.6,11.5
230146,9.5,9.9
230151,10.2,12.8
230156,11.6,12.1
230165,9.3,10.2
230167,14.3,11.1
230174,12.3,11.7
230176,10.2,11.3
230180,12.1,10.9
230193,9.7,12.4
230195,9.6,11
230197,7.5,9.6
230207,9,9.9
230208,11.4,14.7
230216,11.8,13.3
230217,11.9,12.4
230222,12.7,12.4
230227,11.1,10.8
230230,14.7,12
230236,11.3,11.4
230239,13.1,12.5
230241,12.6,12.5
230244,9.4,13.2
230254,11.3,11.7
230259,10,9.9
230264,Not Available,Not Available
230269,10,9
230270,11.6,10.7
230273,10.2,10
230275,Not Available,Not Available
230277,8.9,9.1
230279,Not Available,Not Available
230297,Not Available,11.6
230301,Not Available,Not Available
230302,9.1,10.9
23037F,9.9,14
231300,Not Available,Not Available
231301,Not Available,Not Available
231303,12.4,10.7
231304,12,13.9
231305,11.8,12.5
231306,Not Available,11.2
231307,13.1,14.6
231308,Not Available,10.3
231309,12,11.5
231310,13,12.1
231311,Not Available,10.4
231312,Not Available,11.3
231313,Not Available,Not Available
231314,13,11.3
231315,11.1,12.3
231316,12.2,12.2
231317,Not Available,9.8
231318,11.2,14
231319,9.8,11.1
231320,11.8,10.4
231321,11.9,14
231322,13.9,12.9
231323,11.7,15.3
231324,11.9,10.5
231325,13.6,13
231326,12.8,12.1
231327,10.7,11
231328,11.9,13.7
231329,Not Available,12.4
231330,10.4,10.4
231331,13.1,11.3
231332,11.2,11.7
231333,13.9,16.5
231334,13.6,12.3
231335,11,13.7
233300,Not Available,Not Available
240001,11.2,13.4
240002,9.4,14
240004,12.3,12.2
240006,11.4,11.9
240010,11.2,10.8
240014,11.4,10.4
240018,13.7,13.7
240019,Not Available,11.4
240020,10.5,11.7
240022,12.1,11.6
24002F,Not Available,Not Available
240030,10.9,12.6
240036,9.9,10.6
240038,10.7,14
24003F,9.3,10
240040,11.9,11.9
240043,12.8,12
240044,11.8,9.6
240047,10.5,12.1
240050,12.4,11.9
240052,9.2,11.2
240053,13.2,9.7
240056,10,10.4
240057,9.2,9.2
240059,11.5,12
240061,Not Available,13.9
240063,10.7,12.1
240064,14,14
240066,11.1,11.4
240069,10,12.1
240071,10.2,11.4
240075,8.9,9.4
240076,11.4,10.7
240078,10.4,10.2
240080,12,12.9
240084,11.4,10.6
240088,12.5,12.2
240093,14.9,11.3
240100,11.3,12.7
240101,11.4,12.9
240104,12.5,10.9
240106,13.1,12.2
240115,12.6,9.1
240117,12.9,10.3
240132,10.7,10.2
240141,9.7,12
240166,11.4,10.2
240187,11.1,9.4
240196,Not Available,Not Available
240206,Not Available,Not Available
240207,11.3,10.2
240210,10.8,11
240213,9.2,11.5
240214,Not Available,Not Available
241300,Not Available,Not Available
241301,12.1,Not Available
241302,Not Available,Not Available
241303,Not Available,12.4
241304,Not Available,Not Available
241305,11,12.8
241306,11.9,13.4
241308,Not Available,12.3
241309,Not Available,12.1
241311,Not Available,12.4
241312,Not Available,Not Available
241313,Not Available,Not Available
241314,Not Available,11.7
241315,Not Available,11.9
241316,Not Available,Not Available
241317,Not Available,11
241318,Not Available,11.7
241319,Not Available,10.7
241320,11.8,12.9
241321,Not Available,Not Available
241322,13.8,12.1
241323,Not Available,11
241325,Not Available,11.8
241326,Not Available,Not Available
241327,11.2,10.8
241328,Not Available,Not Available
241329,11.2,11.6
241330,Not Available,10.8
241331,11.7,11.1
241332,13.6,12
241333,Not Available,Not Available
241334,Not Available,14
241335,11.9,10.7
241336,Not Available,12.6
241337,Not Available,10.2
241338,Not Available,Not Available
241339,Not Available,14.1
241340,Not Available,Not Available
241341,Not Available,Not Available
241342,Not Available,11.4
241343,12.6,11
241344,11.1,12.3
241345,13.6,12.1
241346,Not Available,13.1
241347,Not Available,10.7
241348,Not Available,11.6
241349,11.6,11.4
241350,12.4,13.9
241351,11.5,12.4
241352,11.7,12.5
241353,13.1,13.1
241354,10.8,13.1
241355,11.5,11.3
241356,11.1,11.2
241357,11.3,11.5
241359,13.5,12.3
241360,12.7,10.9
241361,11,9.3
241362,11,11.4
241363,11,11.8
241364,12.2,14
241365,Not Available,13.2
241366,12,11.1
241367,11.7,11.3
241368,Not Available,10.9
241369,12.8,11.5
241370,13.7,11.5
241371,12.9,11.5
241372,Not Available,10.2
241373,13.4,11.1
241374,10.4,12.4
241375,Not Available,Not Available
241376,11.3,15
241377,12.4,11.5
241378,12,13.4
241379,Not Available,12.8
241380,10.9,11.8
241381,11.6,13.3
243302,Not Available,Not Available
250001,12.2,12.8
250002,13.2,10.4
250004,15.4,15.2
250006,10.5,12.8
250007,10.6,13.2
250009,13.3,14.5
250010,12.7,15.1
250012,10.6,13
250015,11.7,11.6
250017,12.3,10.3
250019,11.7,12.6
250020,10.2,11.2
250025,11.6,14.3
250027,12.7,13.1
250031,12,13.9
250034,13.6,13
250036,12.6,12.9
250038,11.1,12.7
250040,12.4,14
250042,10.8,14
250043,10.2,13.5
250044,14,11.1
250048,11.1,11.2
250049,10.7,12.6
250050,14,14.1
250051,Not Available,12.4
250057,13,9.8
250058,9.2,16.3
250059,14.5,12.3
250060,Not Available,10.8
250061,10.2,11
250067,10.7,11
250069,12.2,14.1
250072,12.2,11.6
250077,11.6,12.7
250078,12.5,12.5
250079,11.6,11.6
250081,10.1,14
250082,10.7,13.9
250084,13.5,16.8
250085,14.4,15.5
250093,14.8,19.3
250094,10.8,12.5
250095,10.8,13
250096,11.6,12.1
250097,14.2,14.9
250099,10.3,9.5
250100,14.2,13.8
250102,13.1,13.1
250104,13.1,12.8
250117,11.2,15.6
250122,9.9,13.3
250123,11.7,14.1
250124,11,14.6
250126,10.9,11.4
250128,12.5,11.9
250134,Not Available,14.9
250136,Not Available,Not Available
250138,12.9,13
250141,11.3,12.5
250151,Not Available,Not Available
250162,11.3,10.6
250163,Not Available,Not Available
25042F,9.2,10.2
25043F,12.5,14.7
251300,13.2,11.2
251303,Not Available,14.7
251304,Not Available,12.7
251305,11.5,11.2
251306,12.9,13
251308,11.5,10.7
251309,13.5,15.1
251311,11.2,12.2
251312,12,12.7
251313,12.7,12.9
251315,13.6,13.5
251316,10.5,11.9
251317,Not Available,17.5
251318,11.8,14.2
251319,11,12.4
251320,Not Available,12.2
251322,10.2,9.7
251323,12.8,12.2
251324,14.3,15
251325,13.4,15.3
251326,12.6,12.1
251327,11.7,12.4
251330,11.6,11.6
251331,10.3,11.2
251332,11.9,13.1
251333,Not Available,Not Available
251334,Not Available,Not Available
251335,Not Available,Not Available
260001,13.2,13
260004,13.3,14.8
260005,10.4,12.6
260006,12.6,9.1
260009,9.8,12.5
260011,14.1,10.2
260015,11.4,13.2
260017,12.2,14.5
260020,10.6,11.4
260022,11.2,10.2
260023,11.6,11.3
260024,11.2,11.5
260025,10.5,14
260027,11.4,15.4
260032,9.8,13.3
260034,10.7,9.8
260040,12.7,11.1
260047,13.9,12.5
260048,12.1,12.3
26004F,9.7,11.4
260050,13.6,13.2
260052,14.6,12.1
260057,13.2,16.9
260059,13,11.5
260061,11.7,14
260062,10.8,12.1
260064,10.4,11.7
260065,14.9,15.3
260068,12.5,10.7
260070,11.2,11.6
260074,10.5,11
260077,11.7,11.6
260078,12,12
26007F,11.6,10.1
260080,10.9,10.4
260081,12.5,11.2
260085,11.4,13.6
260091,9.2,11.5
260094,9.3,8.3
260095,14.5,12.9
260096,8.9,9.6
260097,13.6,13.8
26009F,9.8,11.2
260102,12,14.4
260104,12.2,11.8
260105,10.2,12.5
260108,9.4,8.9
260110,11.8,13.6
260113,12.1,14.8
260115,11.9,11.8
260116,14.2,13.3
260119,14.9,16.8
260137,12.7,12
260138,10.6,11.2
260141,14.5,17.6
260142,11,10.1
260147,13,12.2
260160,11.8,12.6
260162,10.2,10.4
260163,11.1,9.3
260175,11.2,12
260176,11,12.5
260177,10.3,8.2
260179,10.1,9.3
260180,9.8,12.9
260183,12.5,15.7
260186,13.3,11.1
260190,12.8,14.2
260191,9.3,9.5
260193,12.5,12.5
260195,15.1,17
260200,13,10.7
260207,11.4,10.4
260209,11.4,12.8
260210,10.9,11.4
260211,Not Available,Not Available
260214,11.1,10.5
260216,12,11.1
260219,9,11.2
26023F,13.1,11.4
261303,15.3,12.6
261304,Not Available,Not Available
261305,11.8,10.7
261306,11.6,13.3
261307,11.8,10.8
261308,11.7,13
261309,11.6,12.2
261310,11.5,13.7
261311,12.9,12.7
261312,11.4,10.1
261314,13,13.2
261316,11,11.3
261317,Not Available,10.9
261318,11.2,11.9
261319,12,11.4
261320,12,13.1
261321,10.5,11.8
261324,10.1,13.2
261325,11.2,10.6
261326,12.3,10.2
261327,12.1,10.5
261328,12.9,11
261329,Not Available,12.3
261330,11.6,10.2
261331,14.4,12.6
261332,12.3,10.1
261333,11.3,10.2
261335,11.2,9.6
263302,Not Available,Not Available
270003,14.8,14.2
270004,12.4,13.4
270012,11.7,8.6
270014,13.5,15.1
270017,13.2,9.9
270023,10.4,10.8
270032,11.6,11
27003F,10.6,10
270049,13,12.2
270051,11.8,10.1
270057,12.8,11.7
270074,10.5,9.4
270086,Not Available,Not Available
270087,Not Available,Not Available
271300,Not Available,Not Available
271302,Not Available,Not Available
271303,Not Available,Not Available
271304,Not Available,Not Available
271305,Not Available,Not Available
271306,Not Available,Not Available
271307,Not Available,Not Available
271308,Not Available,Not Available
271309,Not Available,Not Available
271310,Not Available,Not Available
271311,Not Available,Not Available
271312,Not Available,12.9
271313,Not Available,Not Available
271316,11,14.5
271317,11.1,13.1
271318,12.9,13.3
271319,10.9,10.5
271320,11.6,12.5
271322,Not Available,12.3
271323,12,11.6
